,Secondary Display Type,Wireless Charging,Platform,Device Category,Brand,Pixel Density,Market Regions,Zoom,Display Type,ROM,Display Refresh Rate,CPU Clock,Sec. SIM Card Slot,Mass,Price,ppi,CPU Name,RAM,VidResolution,bluetooth
0,False,False,Android,Smartphone,Sharp,295,Asia,1.0,Color IPS TFT LCD display,64,0,2200,False,0.174,468.65000000000003,246.62552474259226,Qualcomm Snapdragon,4,2.0736,5.1
1,False,True,Android,Smartphone,Huawei,444,Asia,3.5,AM-OLED display,512,120,3190,True,0.2,1257.2856000000002,424.2134202710644,Qualcomm Snapdragon,12,8.2944,5.2
2,False,False,Android,Smartphone,Samsung,401,North America,1.0,Color PLS TFT LCD display,64,90,2200,False,0.204,199.99,362.4354725582192,MediaTek Dimensity,4,2.0736,5.2
4,False,False,Android,Smartphone,Oppo,410,Asia,1.0,AM-OLED display,256,90,2500,True,0.182,361.7866,379.4443684445006,MediaTek Dimensity,8,8.2944,5.2
5,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,AM-OLED display,256,144,2995,True,0.22,550.0428,369.84150821725535,Qualcomm Snapdragon,8,8.2944,5.2
6,False,False,Android,Smartphone,BBK,269,Asia,1.0,Color IPS TFT LCD display,128,0,2320,True,0.191,168.3891,245.86286173441448,MediaTek Helio,4,2.0736,4.2
7,False,False,Android,Smartphone,Oppo,400,Asia,1.0,Color IPS TFT LCD display,64,60,2000,True,0.189,168.2694,370.45261662457796,UNISOC Tiger,4,2.0736,5.0
8,True,True,Android,Smartphone,BBK,407,Asia,1.0,AM-OLED display,512,120,3000,True,0.198,1053.0828000000001,381.28440221688595,Qualcomm Snapdragon,12,8.2944,5.3
9,False,False,Android,Smartphone,Xiaomi,395,Asia,1.0,AM-OLED display,256,144,2995,True,0.22,1183.3155000000002,369.84150821725535,Qualcomm Snapdragon,16,8.2944,5.2
10,False,False,Android,Smartphone,ZTE,400,Asia,1.0,AM-OLED display,256,120,3187,True,0.23,817.2828000000001,381.8822654072761,Qualcomm Snapdragon,12,33.1776,5.3
11,False,True,Android,Smartphone,BBK,518,Asia,2.5,AM-OLED display,512,120,2995,True,0.21,943.0428,492.035132071714,Qualcomm Snapdragon,12,33.1776,5.2
