name,brand,price,bang_tan_2g,bang_tan_3g,battery_capacity,battery_life,bluetooth,brand,brand_country,camera_sau,camera_truoc,cart_slot,charge_time,chip_do_hoa,chip_set,chuc_nang_khac,connect_khac,connect_nfc,cpu_speed,den_flash,dimensions,display_type,fm_radio,ghi_am,gps,ho_tro_4g,ho_tro_5g,included_accessories,is_authentic,is_warranty_applied,item_model_number,jack_headphone,kha_dung,khe_sim,loai_pin,loai_sim,luu_y,manufacturer_electronics,material,nghe_nhac,organization_address,organization_name,origin,part_number,pin_co_the_thao_roi,port_sac,product_weight,quay_phim,ram,resolution,rom,screen_size,seller_delivery_method,service_highlight_1,service_highlight_2,service_highlight_3,the_ngoai_toi_da,tinh_nang_camera,vat_taxable,video_call,warranty_form,warranty_time_period,wifi,xem_phim
Apple iPhone 15 Pro,Apple,27990000,,,,,,Apple,,,,,,,,,,,,,,Super Retina XDR ,,,,,,,Có,Có,,,,,,,,,,,,,Mỹ,,,USB-C,,,,,,6.1 inch,,,,,,,Có,,Điện tử,12,,
Điện thoại Samsung Galaxy S23 5G (8GB/256GB) - Hàng chính hãng,Samsung,15290000,,,3900 mAh,,v5.3,Samsung,Hàn Quốc,"Chính 50 MP & Phụ 12 MP, 10 MP",12 MP,Không,,Adreno 740,Snapdragon 8 Gen 2 8 nhân,"Sạc siêu nhanh 25W, Chia sẻ pin không dây",,Có,"1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Có,Dài 146.3 mm - Ngang 70.9 mm - Dày 7.6 mm,"Infinity-O, Dynamic AMOLED 2X (48~120Hz)",,,"GPS
-
GLONASS
-
GALILEO
-
BEIDOU",Có,Có,"Cáp Type C, Cây lấy sim, Hộp, Sách hướng dẫn",Có,Có,Galaxy S23 5G,Type-C,,2,Li-Ion,2 Nano SIM hoặc 1 Nano SIM + 1 eSIM,,,Khung nhôm & Mặt lưng kính cường lực,"WAV
-
AAC
-
OGG
-
MP3
-
AMR
-
Midi
-
M4A",,,Việt Nam,,Pin liền thân máy,Type-C,168 g,"HD 720p@30fps
-
4K 2160p@60fps
-
FullHD 1080p@30fps
-
8K 4320p@24fps
-
8K 4320p@30fps",8GB,Full HD+ (1080 x 2340 Pixels),256GB,6.1 inch,,,,,,"Ảnh Raw
-
Chuyên nghiệp (Pro)
-
Tự động lấy nét (AF)
-
Toàn cảnh (Panorama)
-
Quay Siêu chậm (Super Slow Motion)
-
Nhãn dán (AR Stickers)
-
Làm đẹp
-
Ban đêm (Night Mode)
-
Zoom quang học
-
AI Camera
-
Live Photo
-
Bộ lọc màu
-
Quay chậm (Slow Motion)
-
Xóa phông
-
Zoom kỹ thuật số
-
Chống rung quang học (OIS)
-
Trôi nhanh thời gian (Time Lapse)
-
Góc siêu rộng (Ultrawide)",Có,"Gọi qua ứng dụng Zalo, Messenger,…",Điện tử,12,"Wi-Fi Direct
-
Dual-band (2.4 GHz/5 GHz)
-
Wi-Fi 802.11 a/b/g/n/ac/ax
-
6 GHz","MP4
-
3GP
-
AVI
-
MKV
-
FLV"
Điện thoại Xiaomi Redmi Note 12 (4GB/128GB) - Hàng chính hãng,Xiaomi,3770000,,,5000,,"A2DP,  LE,  v5.1",Xiaomi,,,,Có,,,Snapdragon 685 8 nhân,"Mở khoá vân tay cạnh viền, Mở khoá khuôn mặt"," OTG, NFC",,2.8 GHz,,<p>Dài 165.66 mm - Ngang 75.96 mm - Dày 7.85 mm</p>,AMOLED,,,,Có,,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C, Củ sạc nhanh rời đầu Type A </p>",Có,Có,, 3.5 mm,101 GB,2, Li-Po,Nano SIM,,,Khung &amp; Mặt lưng nhựa,,,,Việt Nam,,, Type-C,183.5 g,,4GB,Full HD+ (1080 x 2400 Pixels),128GB,6.67 inch,,,,, 1 TB,,Có,Có,Điện tử,18,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz)",
Điện thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,OPPO,4150000,,,5000,,v5.3,OPPO,,,,MicroSD,,Mali-G52 MP2,MediaTek Helio G85 8 nhân,, OTG,, 2.0 GHz,Có,<p>Dài 165.65 mm - Ngang 75.98 mm - Dày 7.99 mm - Nặng 192 g</p>, LTPS LCD,,,,Có,,"<p>Bộ sản phẩm gồm: Cáp Type C, Củ sạc nhanh rời đầu Type A, Hộp, Sách hướng dẫn, Ốp lưng, Cây lấy sim</p>",Có,Có,OPPO A58,3.5 mm,,2, Li-Po,Nano SIM,,,,,,,,,, Type-C,192 g,, 6 GB,Full HD+ (1080 x 2412 Pixels),128GB,6.7 inch,,,,, 1 TB,,Có,,Điện tử,12,"Wi-Fi Direct,  Wi-Fi 802.11 a/b/g/n/ac,  Wi-Fi hotspot,  Dual-band (2.4 GHz/5 GHz)",
Điện thoại Xiaomi Redmi Note 12 (8GB/128GB) - Hàng chính hãng,Xiaomi,4370000,,,5000,,"A2DP,  LE,  v5.1",Xiaomi,,,,Có,,,Snapdragon 685 8 nhân,"Mở khoá vân tay cạnh viền, Mở khoá khuôn mặt"," OTG, NFC",,2.8 GHz,,<p>Dài 165.66 mm - Ngang 75.96 mm - Dày 7.85 mm</p>,AMOLED,,,,Có,,"<p>Bộ sản phẩm gồm: Hộp, Sách hướng dẫn, Cây lấy sim, Ốp lưng, Cáp Type C, Củ sạc nhanh rời đầu Type A </p>",Có,Có,, 3.5 mm,101 GB,2, Li-Po,Nano SIM,,,Khung &amp; Mặt lưng nhựa,,,,,,, Type-C,183.5 g,,8GB,Full HD+ (1080 x 2400 Pixels),128GB,6.67 inch,,,,, 1 TB,,Có,Có,Điện tử,18,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band (2.4 GHz/5 GHz)",
Điện Thoại Oppo A57 4GB/128GB - Hàng Chính Hãng,OPPO,3290000,,,5000 mAh,,v5.3,OPPO,,Chính 13 MP & Phụ 2 MP,8 MP,"MicroSD, hỗ trợ tối đa 1 TB",,IMG PowerVR GE8320,MediaTek Helio G35 8 nhân,,,,2.3 GHz,,,IPS LCD,,,,Có,Không,"<p>Bộ sản phẩm bao gồm: Thân máy, bộ sạc, cáp USB, dụng cụ lấy sim, sách hướng dẫn, ốp lưng điện thoại.</p>",Có,Có,Oppo A57 4GB/128GB,3.5 mm,4GB/128GB,2 sim,,2 Nano SIM,,,,,,,,,,Type-C,187 g,,4 GB,720 x 1612 (HD+),128 GB,6.56 inch,,,,,1TB,,Có,,Điện tử,1,Có,
Điện Thoại Oppo A17k (3GB/64GB) - Hàng Chính Hãng,OPPO,2390000,,,5000 mAh,,v5.3,OPPO,Trung Quốc,8 MP,5 MP,"MicroSD, hỗ trợ tối đa 1 TB",,IMG PowerVR GE8320,MediaTek Helio G35 8 nhân,,OTG,,2.3 GHz,Có,<p>Dài 164.2 mm - Ngang 75.6 mm - Dày 8.3 mm</p>,IPS LCD,," Ghi âm mặc định, Ghi âm cuộc gọi","GPS,  GLONASS,  BEIDOU",Có,Không,"<p>Hộp, sách hướng dẫn, cây lấy sim, Ốp lưng, Cáp Micro USB, Củ sạc nhanh rời đầu Type A</p>",Có,Có,,3.5 mm,50 GB,2 sim,Li-Po,2 Nano SIM,,, Khung & Mặt lưng nhựa,"OGG,  MP3,  Midi,  FLAC",,,Trung Quốc,,Không,Micro USB,189 g," HD 720p@30fps, FullHD 1080p@30fps",3 GB,720 x 1612 (HD+),64 GB,6.56 inch,,,,,1 TB," Chuyên nghiệp (Pro), HDR, Toàn cảnh (Panorama), Làm đẹp, Ban đêm (Night Mode), AI Camera, Bộ lọc màu, Zoom kỹ thuật số, Trôi nhanh thời gian (Time Lapse)",Có,,Điện tử,12,Có," MP4, AVI"
Apple iPhone 15 Pro Max,Apple,33790000,,,,,,Apple,,,,,,,,,,,,,,Super Retina XDR ,,,,,,,Có,Có,,,,,,,,,,,,,Mỹ,,,USB-C,,,,,,,,,,,,,Có,,Điện tử,12,,
Apple iPhone 15,Apple,21990000,,,,,,Apple,Mỹ,,,,,,A16 BIONIC ,,,,,,,Super Retina XDR,,,,,,,Có,Có,,,,,,,,,,,,,,,,USB-C ,,,,,,6.1 inch,,,,,,,Có,,Điện tử,12,,
Apple iPhone 15 Pro,Apple,27990000,,,,,,Apple,,,,,,,,,,,,,,Super Retina XDR ,,,,,,,Có,Có,,,,,,,,,,,,,Mỹ,,,USB-C,,,,,,6.1 inch,,,,,,,Có,,Điện tử,12,,
